0, 4807, 0, 4807,
0, 4807, 2, 4807,
0, 4807, 2, 4807,
0, 4807, 2, 4807,
300, 4807, 2, 4745,
2280, 4807, 2, 4350,
4800, 4807, 2, 3844,
4380, 4807, 2, 3921,
4320, 4807, 2, 3933,
4380, 4807, 2, 3925,
4440, 4807, 2, 3914,
4320, 4807, 2, 3933,
4320, 4807, 2, 3934,
4440, 4807, 2, 3915,
4440, 4807, 2, 3918,
4380, 4807, 2, 3920,
4440, 4807, 2, 3915,
4380, 4807, 2, 3931,
4380, 4807, 2, 3920,
4380, 4807, 2, 3929,
4380, 4807, 2, 3928,
4440, 4807, 2, 3917,
4380, 4807, 2, 3926,
4800, 4807, 2, 3837,
5220, 4807, 2, 3754,
4440, 4807, 2, 3911,
4440, 4807, 2, 3908,
4440, 4807, 2, 3915,
4440, 4807, 2, 3919,
4440, 4807, 2, 3912,
4380, 4807, 2, 3921,
4260, 4807, 2, 3944,
3960, 4807, 2, 4008,
3600, 4807, 2, 4076,
3540, 4807, 2, 4089,
3480, 4807, 2, 4109,
3360, 4807, 2, 4134,
3420, 4807, 2, 4115,
3900, 4807, 2, 4021,
4320, 4807, 2, 3942,
3480, 4807, 2, 4107,
3540, 4807, 2, 4091,
3660, 4807, 2, 4070,
4260, 4807, 2, 3951,
4740, 4807, 2, 3854,
3660, 4807, 2, 4066,
3600, 4807, 2, 4084,
3840, 4807, 2, 4036,
4080, 4807, 2, 3984,
3840, 4807, 2, 4030,
4380, 4807, 2, 3929,
4320, 4807, 2, 3934,
4320, 4807, 2, 3938,

