(0, 4807, 5, 4807),
(600, 4807, 5, 4679),
(2760, 4807, 5, 4251),
(4500, 4807, 5, 3905),
(4560, 4807, 5, 3894),
(4560, 4807, 5, 3890),
(4560, 4807, 5, 3889),
(4560, 4807, 5, 3893),
(4560, 4807, 5, 3891),
(4500, 4807, 5, 3899),
(4500, 4807, 5, 3899),
(4560, 4807, 5, 3895),
(4500, 4807, 5, 3898),
(4920, 4807, 5, 3816),
(5340, 4807, 5, 3732),
(4560, 4807, 5, 3895),
(4620, 4807, 5, 3882),
(4560, 4807, 5, 3889),
(4560, 4807, 5, 3894),
(4500, 4807, 5, 3905),
(4500, 4807, 5, 3900),
(4560, 4807, 5, 3887),
(4560, 4807, 5, 3889),
(4560, 4807, 5, 3889),
(4560, 4807, 5, 3894),
(4560, 4807, 5, 3889),
(4500, 4807, 5, 3904),
(4440, 4807, 5, 3909),
(4500, 4807, 5, 3898),
(4560, 4807, 5, 3890),
(4500, 4807, 5, 3896),
(4500, 4807, 5, 3900),
(4560, 4807, 5, 3889),
(4560, 4807, 5, 3891),
(4560, 4807, 5, 3889),
(4560, 4807, 5, 3891),
(4860, 4807, 5, 3829),
(5340, 4807, 5, 3733),
(4500, 4807, 5, 3896),
(4500, 4807, 5, 3899),
(4560, 4807, 5, 3887),
(4500, 4807, 5, 3896),
(4500, 4807, 5, 3897),
(4560, 4807, 5, 3889),
(4560, 4807, 5, 3894),
(4560, 4807, 5, 3886),
(4560, 4807, 5, 3887),
(4500, 4807, 5, 3898),
(4500, 4807, 5, 3904),
(4560, 4807, 5, 3894),
(4500, 4807, 5, 3898),
(4500, 4807, 5, 3900),
(4560, 4807, 5, 3895),
(4500, 4807, 5, 3900),
(4500, 4807, 5, 3896),
(4560, 4807, 5, 3891),
(4560, 4807, 5, 3890),
(4500, 4807, 5, 3899),
(4500, 4807, 5, 3900),
(4560, 4807, 5, 3886),
(4620, 4807, 5, 3882),
(4560, 4807, 5, 3884),
(4560, 4807, 5, 3894),
(4560, 4807, 5, 3894),
(4440, 4807, 5, 3909),
(4500, 4807, 5, 3907),
(4500, 4807, 5, 3902),
(4500, 4807, 5, 3907),
(4500, 4807, 5, 3896),
(4500, 4807, 5, 3898),
(4500, 4807, 5, 3900),
(4560, 4807, 5, 3893),
(4500, 4807, 5, 3900),
(4500, 4807, 5, 3899),
(4560, 4807, 5, 3889),
(4560, 4807, 5, 3884),
(4560, 4807, 5, 3886),
(4560, 4807, 5, 3893),
(4560, 4807, 5, 3890),
(4500, 4807, 5, 3902),
(4500, 4807, 5, 3907),
(4500, 4807, 5, 3900),
(4500, 4807, 5, 3899),
(4500, 4807, 5, 3898),
(4560, 4807, 5, 3893),
(4560, 4807, 5, 3889),
